CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
40512425,MCDONALD'S,Brooklyn,5713,CHURCH AVENUE,11203,7189226085,Hamburgers,11/02/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,11,A,11/02/2017,06/28/2020,Cycle Inspection / Initial Inspection
50087226,MCDONALDS,Bronx,86,EAST  167 STREET,10452,7325159898,Hamburgers,09/05/2019,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,12,A,09/05/2019,06/28/2020,Cycle Inspection / Re-inspection
50054754,MCDONALD'S,Queens,11401,SUTPHIN BLVD,11436,7188450581,American,11/06/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,13,A,11/06/2019,06/28/2020,Cycle Inspection / Initial Inspection
50045509,MCDONALD'S RESTAURANT,Manhattan,1871,2 AVENUE,10029,6466720263,Hamburgers,05/14/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,12,A,05/14/2019,06/28/2020,Cycle Inspection / Initial Inspection
41500338,MCDONALD'S,Queens,15901,JAMAICA AVENUE,11432,7185263725,Hamburgers,03/04/2019,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,39,,,06/28/2020,Cycle Inspection / Initial Inspection
50005026,MCDONALD'S,Brooklyn,3143,ATLANTIC AVENUE,11208,7189649600,American,09/24/2016,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,12,A,09/24/2016,06/28/2020,Cycle Inspection / Initial Inspection
50001148,MCDONALD'S,Manhattan,148,WEST  125 STREET,10027,6467904636,Hamburgers,06/16/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,22,B,06/16/2016,06/28/2020,Cycle Inspection / Re-inspection
41463512,MCDONALD'S,Manhattan,824,3 AVENUE,10022,6469186885,Hamburgers,05/24/2017,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,37,,,06/28/2020,Cycle Inspection / Initial Inspection
50094803,MEZBANI SWEETS & RESTAURANT,Brooklyn,473,MCDONALD AVENUE,11218,6462627206,Bangladeshi,01/10/2020,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,5,,,06/28/2020,Cycle Inspection / Initial Inspection
50010395,MCDONALD'S,Manhattan,208,DYCKMAN STREET,10040,2125692909,American,06/20/2017,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,14,,,06/28/2020,Cycle Inspection / Initial Inspection
